,user,text,favorite_count,retweet_count,created_at
0,JeffBezos,"The Hutch is going to do incredible things with this.

https://t.co/m3BKYhKwr9",3251,290,2022-10-12 19:56:33+00:00
1,JeffBezos,Invention. You can still improve even an axe! Damn. https://t.co/9vM9Nq3L6i,48413,3652,2022-10-09 23:30:29+00:00
2,JeffBezos,Go @JSalke and @AmazonStudios! https://t.co/ycGoNE2Zne,998,144,2022-10-05 18:48:40+00:00
3,JeffBezos,https://t.co/xdw8Dod79l,2207,272,2022-09-20 22:14:59+00:00
4,JeffBezos,https://t.co/DHKpHZnzzH,2506,434,2022-09-10 18:33:46+00:00
5,JeffBezos,@erikprinz0 100%,116,10,2022-09-10 02:15:28+00:00
6,JeffBezos,"If you want unusual results, you’re going to need some missionary, brilliant “organizational misfits” on your team.

https://t.co/yKG7hL97e3",3896,447,2022-09-10 02:05:31+00:00
7,JeffBezos,I can think of no one who better personified duty. My deepest condolences to all the Brits mourning her passing today. https://t.co/rCkagaglET,23915,1335,2022-09-08 18:29:00+00:00
8,JeffBezos,This is someone supposedly working to make the world better? I don’t think so. Wow. https://t.co/2zoi6CdFMq,76963,10915,2022-09-08 16:51:35+00:00
9,JeffBezos,@bearmccreary Your music is a huge part of what makes this show so amazing. Thank you!,530,9,2022-09-03 22:50:20+00:00
10,JeffBezos,"Go Middle-earth!
https://t.co/SbJrAJ05mw",12148,785,2022-09-03 22:38:51+00:00
11,JeffBezos,Good point. Thank you. (And very excited about what you’re working on.) https://t.co/yiCrS8uC3p,2305,202,2022-09-03 15:24:08+00:00
12,JeffBezos,My first job. And still the same great burger. Happy Sunday! https://t.co/3slx6dHUVa,210423,9443,2022-08-28 21:44:31+00:00
13,JeffBezos,Leaders can only get so far ahead… https://t.co/j64lhNjw0F,9315,1137,2022-08-08 17:11:02+00:00
14,JeffBezos,"My friend and a friend to many, Tom Alberg, has passed away. He was an early investor in Amazon and served on our board for 23 years. Tom was a visionary and also just a wonderful, good man. I was so lucky to have you in my life, Tom. We will all miss you dearly. https://t.co/JsRvxt8rI0",11207,502,2022-08-06 21:28:43+00:00
15,JeffBezos,New trailer released at Comic-Con today #TheRingsofPower https://t.co/cQ4IQ6hfwf,6297,783,2022-07-22 19:12:50+00:00
16,JeffBezos,Let’s go! https://t.co/GVRqtO2JQV,4700,455,2022-07-22 14:26:22+00:00
17,JeffBezos,First full-length trailer #TheRingsOfPower https://t.co/yq6OrxfhmG,10267,1431,2022-07-14 15:44:33+00:00
18,JeffBezos,Ouch. Inflation is far too important a problem for the White House to keep making statements like this. It’s either straight ahead misdirection or a deep misunderstanding of basic market dynamics. https://t.co/XgKfEICZpk,192132,31830,2022-07-03 01:42:17+00:00
19,JeffBezos,@YONeal1 Nice! Happy Father’s Day to your fathers too!!,209,10,2022-06-20 21:05:53+00:00
20,JeffBezos,@LanguageIgbo Thank you!,293,13,2022-06-20 21:00:44+00:00
21,JeffBezos,"I love you, Dad. https://t.co/GSqHUGlgt8",69382,1729,2022-06-19 23:01:45+00:00
22,JeffBezos,"@stewartbrand Stewart, I very much hope the future world gets many more “hucksters” like you. We will be better for it!",224,15,2022-06-12 03:12:15+00:00
23,JeffBezos,Incredible https://t.co/mahsnjatRi,9808,872,2022-05-31 21:11:31+00:00
24,JeffBezos,"@AJDelgado13 Since I have a Cuban dad, am I a Legacy American or is that too soon? Are my kids? The framework doesn’t make sense.",290,31,2022-05-29 20:37:20+00:00
25,JeffBezos,"@AJDelgado13 Yes, a strong scent. “Non Legacy American” is so intellectually bankrupt.",226,13,2022-05-29 20:32:28+00:00
